LOCAL,VENDOR,ALL
001,000,000
203,001,001
211,002,002
224,003,003
253,004,004
301,201,005
311,203,201
313,205,203
320,207,205
329,211,207
403,212,209
406,218,211
421,219,212
422,221,214
425,223,216
426,224,218
427,238,219
440,239,220
451,245,221
456,247,223
514,253,224
517,267,227
711,269,232
901,277,233
,279,236
,292,238
,301,239
,302,245
,303,247
,305,253
,307,255
,308,257
,309,259
,311,260
,313,261
,315,264
,320,265
,321,266
,322,267
,324,268
,327,269
,329,273
,333,274
,335,277
,401,279
,403,281
,404,282
,405,284
,406,285
,407,286
,409,287
,411,288
,412,289
,413,291
,419,292
,421,293
,422,294
,423,295
,424,297
,425,298
,426,299
,427,301
,429,302
,431,303
,433,305
,435,307
,438,308
,440,309
,441,311
,443,313
,444,315
,445,320
,447,321
,448,322
,449,324
,450,327
,451,328
,453,329
,455,333
,456,334
,457,335
,459,336
,461,337
,465,338
,466,339
,473,401
,495,403
,496,404
,497,405
,501,406
,502,407
,505,408
,509,409
,511,411
,512,412
,513,413
,514,414
,515,417
,516,418
,517,419
,521,421
,522,422
,525,423
,528,424
,529,425
,535,426
,551,427
,588,428
,595,429
,602,430
,611,431
,617,433
,627,435
,634,436
,702,437
,705,438
,706,440
,707,441
,711,442
,715,443
,718,444
,727,445
,729,447
,733,448
,739,449
,750,450
,753,451
,756,453
,761,454
,763,455
,767,456
,770,457
,801,459
,804,461
,805,465
,807,466
,809,471
,810,472
,811,473
,818,475
,823,480
,827,481
,831,483
,896,486
,901,488
,907,490
,908,492
,910,495
,912,496
,918,497
,941,498
,945,499
,947,501
,951,502
,,503
,,505
,,507
,,509
,,511
,,512
,,513
,,514
,,515
,,516
,,517
,,518
,,519
,,521
,,522
,,525
,,528
,,529
,,535
,,537
,,538
,,540
,,541
,,543
,,544
,,545
,,549
,,551
,,555
,,556
,,557
,,559
,,561
,,562
,,563
,,565
,,587
,,588
,,589
,,591
,,595
,,597
,,602
,,606
,,611
,,612
,,614
,,616
,,617
,,618
,,619
,,620
,,622
,,623
,,627
,,629
,,631
,,633
,,634
,,635
,,636
,,639
,,702
,,705
,,706
,,707
,,709
,,711
,,713
,,715
,,718
,,723
,,725
,,727
,,729
,,733
,,735
,,736
,,739
,,746
,,750
,,752
,,753
,,754
,,755
,,756
,,757
,,758
,,759
,,760
,,761
,,762
,,763
,,764
,,765
,,766
,,767
,,768
,,769
,,770
,,771
,,772
,,773
,,774
,,775
,,777
,,778
,,785
,,786
,,787
,,796
,,801
,,803
,,804
,,805
,,807
,,809
,,810
,,811
,,813
,,815
,,817
,,818
,,819
,,823
,,825
,,827
,,829
,,831
,,833
,,835
,,836
,,837
,,838
,,839
,,840
,,843
,,844
,,845
,,846
,,847
,,848
,,849
,,851
,,852
,,853
,,855
,,857
,,859
,,885
,,887
,,889
,,896
,,901
,,902
,,904
,,906
,,907
,,908
,,909
,,910
,,911
,,912
,,913
,,918
,,919
,,932
,,933
,,935
,,937
,,938
,,941
,,942
,,943
,,944
,,945
,,947
,,948
,,951
,,953
,,954
,,955
,,956
,,957
,,958
,,959
,,960
,,961
,,962
,,963
,,964
,,965
,,966
,,968
,,969
,,970
,,977
